HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,0,Tx,Horizontal,2019/03/13,16:44:58
BS1,BS2,RT1
-10,-10,0.0
AO settings - B2AO0,...,B2AO31,B1AO0,...,B1AO31 
2.8010,2.3095,5.8183,0.6437,3.8653,3.4733,3.2132,1.5288,3.6697,1.3968,3.4660,4.7084,2.2577,2.2737,1.6186,0.1757,5.7644,2.1059,2.5940,0.8820,0.9684,1.1690,4.5157,5.2557,2.5654,2.9544,1.4950,2.2084,5.7939,2.5308,0.7750,1.5193,5.2077,4.8064,4.7818,4.2549,1.3184,4.1070,4.3914,1.7931,2.9452,5.2345,2.1536,4.9335,0.5984,1.8171,1.3235,3.2385,1.9866,1.7833,2.1510,2.9001,5.6687,5.6525,5.8479,3.7128,4.9432,0.9743,0.7073,2.4969,3.9856,5.1438,4.6600,1.6686
Freq,S11dB,S11deg,S21dB,S21deg,S12dB,S12deg,S22dB,S22deg
7.95500000000E+10,-1.34653154368E+01,-1.70595212748E+02,-2.98031708547E+01,+1.35253082959E+02,-2.99465265535E+01,+1.63608635587E+02,-1.89240756715E+01,+1.47023879090E+02
7.96000000000E+10,-1.33207031515E+01,-1.74435554400E+02,-2.92455326617E+01,+1.23577310254E+02,-3.01169841366E+01,+1.52767818377E+02,-1.85798267907E+01,+1.25811269265E+02
7.96500000000E+10,-1.33249237115E+01,-1.78396293178E+02,-2.92281108284E+01,+1.11529210787E+02,-2.95031068716E+01,+1.42312186634E+02,-1.78682899272E+01,+1.06398525344E+02
7.97000000000E+10,-1.34121059260E+01,+1.79089193493E+02,-2.93068739884E+01,+1.02981069716E+02,-2.91703978136E+01,+1.31072755835E+02,-1.72601979020E+01,+8.49864568891E+01
7.97500000000E+10,-1.31794066452E+01,+1.76720787554E+02,-2.87795017796E+01,+9.35450593371E+01,-2.92597567659E+01,+1.23723825956E+02,-1.69186854036E+01,+6.37679960539E+01
7.98000000000E+10,-1.29203717581E+01,+1.72148239487E+02,-2.82942222234E+01,+8.11917158771E+01,-2.82308348611E+01,+1.11386909015E+02,-1.68182304970E+01,+4.37206988853E+01
7.98500000000E+10,-1.29191264889E+01,+1.67452446451E+02,-2.80059404111E+01,+6.83100557658E+01,-2.79920059646E+01,+9.57642953649E+01,-1.68177911736E+01,+2.36867433124E+01
7.99000000000E+10,-1.30444724849E+01,+1.64443160773E+02,-2.79191347718E+01,+5.70049314801E+01,-2.81523954865E+01,+8.73786563474E+01,-1.68438953435E+01,+5.10327053317E+00
7.99500000000E+10,-1.30377725522E+01,+1.62364197414E+02,-2.78031489126E+01,+4.62661507336E+01,-2.78689621058E+01,+7.27667606851E+01,-1.69950790036E+01,-1.33867657537E+01
8.00000000000E+10,-1.28443101355E+01,+1.58874785626E+02,-2.75186991797E+01,+3.55941932346E+01,-2.78788250518E+01,+6.23236772980E+01,-1.73123357904E+01,-3.16770135813E+01
HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,0,Tx,Horizontal,2019/03/13,16:45:00
BS1,BS2,RT1
-10,-10,0.0
AO settings - B2AO0,...,B2AO31,B1AO0,...,B1AO31 
0.6671,3.9781,3.3062,3.8591,0.3908,0.3503,3.4121,5.1831,0.8942,3.6486,4.5259,1.4067,4.3958,2.2251,0.3645,0.8920,0.7392,1.5931,5.6152,3.5121,0.0448,3.7421,3.5109,4.8855,1.2661,5.3029,0.4332,4.1638,5.4395,4.8796,0.2000,5.7113,0.1361,0.6256,2.3516,3.3014,2.1896,4.2281,1.4062,4.0723,3.1071,4.4675,1.1390,3.8745,1.7276,0.8436,2.1422,1.0455,4.4951,0.2606,2.5255,3.1327,1.8070,4.4036,0.1923,3.8060,2.2289,4.5895,3.5665,3.9613,5.3338,4.2606,1.5464,0.3847
Freq,S11dB,S11deg,S21dB,S21deg,S12dB,S12deg,S22dB,S22deg
7.50000000000E+10,-1.52521000200E+01,+1.11355640968E+02,-3.02505420094E+01,-2.85550928641E+00,-2.99381413187E+01,+2.23550355072E+01,-1.50171891301E+01,+1.69479551085E+02
7.50500000000E+10,-1.51861738609E+01,+1.08184604858E+02,-2.98408907241E+01,-1.36462277969E+01,-3.03318314119E+01,+1.26425878993E+01,-1.33825380697E+01,+1.50005991589E+02
7.51000000000E+10,-1.51728808675E+01,+1.05075353252E+02,-2.93862992757E+01,-2.47642512282E+01,-2.96065109856E+01,+1.99675806954E+00,-1.22233406328E+01,+1.29059419769E+02
7.51500000000E+10,-1.50937991778E+01,+1.01700695940E+02,-2.89052552279E+01,-3.69325599781E+01,-2.90942392064E+01,-8.88262037682E+00,-1.14525614947E+01,+1.08014641966E+02
7.52000000000E+10,-1.50716240142E+01,+9.83379853284E+01,-2.86025653240E+01,-4.90371318362E+01,-2.86162952711E+01,-2.13383500595E+01,-1.08968836606E+01,+8.71865477128E+01
7.52500000000E+10,-1.49674696228E+01,+9.50505893166E+01,-2.82976699716E+01,-6.06400306030E+01,-2.83542924102E+01,-3.61166440707E+01,-1.05250527648E+01,+6.62115138836E+01
7.53000000000E+10,-1.48440062770E+01,+9.15973505246E+01,-2.80267906724E+01,-7.31233092032E+01,-2.78907059380E+01,-4.76256104195E+01,-1.02975704244E+01,+4.51843419872E+01
7.53500000000E+10,-1.47337799473E+01,+8.81952626279E+01,-2.78516119590E+01,-8.49748520886E+01,-2.76441000261E+01,-5.71267439462E+01,-1.01782552924E+01,+2.34941992530E+01
7.54000000000E+10,-1.46116855363E+01,+8.48878275198E+01,-2.76255593941E+01,-9.71350195620E+01,-2.72265154162E+01,-7.23588218094E+01,-1.01727359793E+01,+2.05737356698E+00
7.54500000000E+10,-1.44412106350E+01,+8.12360221232E+01,-2.73683200740E+01,-1.09280220801E+02,-2.75084314427E+01,-8.04910770592E+01,-1.01742936081E+01,-2.01577464499E+01
7.55000000000E+10,-1.43401178266E+01,+7.74882439814E+01,-2.72121671700E+01,-1.21527943249E+02,-2.70661672831E+01,-9.28931740430E+01,-1.02123429971E+01,-4.31319864060E+01
7.55500000000E+10,-1.41976359064E+01,+7.38401020869E+01,-2.69443046448E+01,-1.33436647821E+02,-2.66098878733E+01,-1.06003232699E+02,-1.02919772906E+01,-6.67114470133E+01
